"work_id","title","year","venue_status","paper_url","problem","intervention_type","location_axes","output_type","robustness","anti_injection","code_url","reusable_component","gap_to_TARCA","verification_date"
"ca-2301.04709","Causal Abstraction: A Theoretical Foundation for Mechanistic Interpretability","2023","arXiv; revised 2025","https://arxiv.org/abs/2301.04709","formal causal abstraction and graded faithfulness","general interventions","abstract mapping","general distributions","not primary focus","formal faithfulness only","","definitions and abstraction error","does not specialize frozen multi-horizon time-series forecasters or independent forecast-horizon/causal-lag axes","2026-08-20"
"iit-2112.00826","Inducing Causal Structure for Interpretable Neural Networks","2021","arXiv / NeurIPS lineage","https://arxiv.org/abs/2112.00826","learn neural representations consistent with high-level causal models","interchange intervention training","chosen neural locations","classification/general","not primary focus","held-out interchange behavior","","IIT objective and interchange semantics","does not address post-hoc frozen probabilistic time-series forecasting or regime-zero-refit","2026-08-20"
"das-2303.02536","Finding Alignments Between Interpretable Causal Variables and Distributed Neural Representations","2023","arXiv","https://arxiv.org/abs/2303.02536","find distributed neural subspaces aligned to causal variables","subspace interchange","layers and distributed subspaces","classification/general","not primary focus","capacity constrained by subspace search","","DAS baseline","does not independently index forecast horizon and causal lag or provide time-series joint truth","2026-08-20"
"bdas-2305.08809","Boundless Distributed Alignment Search: Machine Checking Semantic Content in Neural Networks","2023","arXiv","https://arxiv.org/abs/2305.08809","learn alignment boundaries without fixed subspace size","subspace interchange","continuous distributed subspaces","classification/general","not primary focus","learned boundary constrains location","","Boundless DAS baseline","not a multi-horizon time-series or unseen-regime zero-refit method","2026-08-20"
"hyperdas-2503.10894","HyperDAS: Towards Automating Mechanistic Interpretability with Hypernetworks","2025","ICLR 2025","https://arxiv.org/abs/2503.10894","automate location and subspace alignment search","learned interchange","layers and subspaces","language-model tasks","not primary focus","explicit information-injection concern","https://github.com/jiudingsun01/HyperDAS","anti-injection and automated-search reference","does not provide TARCA time-series truth axes; heavy/gated upstream is reference-only in Stage 0","2026-08-20"
"plot-2605.06979","PLOT: Progressive Localization via Optimal Transport in Neural Causal Abstraction","2026","arXiv v1","https://arxiv.org/abs/2605.06979","progressively localize causal variables using intervention-effect geometry and optimal transport","replacement/interchange effects","tokens timesteps layers coordinates PCA spans","task outputs/effect geometry","not primary focus","calibration and held-out evaluation","https://github.com/jchang153/causal-abstractions-ot","PLOT and PLOT-guided DAS baselines","directly covers generic progressive OT and guided DAS; TARCA must add forecast-specific joint truth and independent horizon/lag tests","2026-08-20"
"diroca-2510.04842","Distributionally Robust Causal Abstractions","2025","arXiv v3 (2026-01)","https://arxiv.org/abs/2510.04842","learn causal abstractions robust to environmental and model misspecification","causal-model interventions","abstraction mappings","causal distributions","Wasserstein ambiguity sets and worst-case guarantees","not primary focus","https://github.com/yfelekis/DiRoCA","robustness baseline and synthetic SCM reference","directly covers generic Wasserstein robust causal abstraction; TARCA must retain frozen forecaster sequential-unseen zero-refit specificity","2026-08-20"
"transport-2608.15645","Generalised Transportability via Causal Abstractions","2026","arXiv v1","https://arxiv.org/abs/2608.15645","model-level approximate transport under mechanism and environment perturbations","causal interventions","model-level abstraction map","query intervals","distributionally robust target-agnostic certificates","not primary focus","","transportability collision and theory neighbor","further blocks generic robust/transportable abstraction claims; not about neural forecasting locations or horizon/lag truth","2026-08-20"
"cae-2607.00267","Validating Causal Abstraction Metrics on Simulated Complex Systems","2026","ICML 2026 Mechanistic Interpretability Workshop Spotlight","https://arxiv.org/abs/2607.00267","validate causal-abstraction metrics on ten static/dynamic simulated systems","sampled interventions","mapped and unmapped variables","continuous abstraction error","tests multiple systems and invalid contrasts","explicit unmapped-variable faithfulness","https://github.com/MelouxM/CAE","CAE metric and faithfulness diagnostic","directly covers generic metric/benchmark claim; TARCA benchmark must be forecast-specific with joint location truth","2026-08-20"
"good-apples-2605.02234","Bucketing the Good Apples: A Method for Diagnosing and Improving Causal Abstraction","2026","arXiv v1","https://arxiv.org/abs/2605.02234","diagnose where a causal abstraction succeeds or fails","pairwise interchange","input-space partitions and selected model sites","task outputs","local failure-region diagnosis","partitioned held-out behavior","https://github.com/Paulineli/apple-bucket","failure-region and pair-bucketing diagnostic","does not supply TARCA time-series axes; requires gated upstream models for reported experiments","2026-08-20"
"nonlinear-dilemma-2507.08802","The Non-Linear Representation Dilemma: Is Causal Abstraction Enough for Mechanistic Interpretability?","2025","NeurIPS 2025 Spotlight","https://arxiv.org/abs/2507.08802","show that expressive maps can align incapable or random models","learned nonlinear mapping","representation maps","task outputs","not primary focus","random/incapable-model challenge and capacity warning","","anti-vacuity requirement","blocks unconstrained nonlinear maps but does not address TARCA forecast-specific mechanism truth","2026-08-20"
"rep-divergence-2511.04638","Addressing divergent representations from causal interventions on neural networks","2025","arXiv v5 (2026-04)","https://arxiv.org/abs/2511.04638","show interventions can create out-of-distribution internal representations","activation intervention","hidden representations and null/hidden paths","model outputs","support under interventions","explicit support/divergence diagnostics","https://github.com/grantsrb/rep_divergence","intervention-support diagnostic","not a causal-abstraction localization algorithm or time-series regime benchmark","2026-08-20"
"id-assumptions-2605.08012","Position: Mechanistic Interpretability Must Disclose Identification Assumptions for Causal Claims","2026","arXiv v1","https://arxiv.org/abs/2605.08012","require explicit identification assumptions for mechanistic causal claims","method-dependent","method-dependent","causal claims","assumption stress tests","distinguishes validation from identification","","assumption-ledger disclosure rule","position paper does not implement TARCA but raises required reporting standard","2026-08-20"
"ca-compositional-2602.16612","Causal and Compositional Abstraction","2026","arXiv v1","https://arxiv.org/abs/2602.16612","unify causal abstraction notions using compositional/category-theoretic models","general causal queries","component and model mappings","general semantics","mechanism-level abstraction","formal semantics","","formal-theory neighbor","not a neural time-series localization or sequential-regime empirical method","2026-08-20"
"ts-mech-2511.21514","Mechanistic Interpretability for Transformer-based Time Series Classification","2025","arXiv v1","https://arxiv.org/abs/2511.21514","apply activation patching saliency and sparse features to time-series classifiers","activation patching and ablation","layers/tokens/features","classification","not primary focus","multiple explanation probes","","time-series mechanistic baseline","classification rather than probabilistic forecasting; blocks first-time-series-mechanistic-interpretability claim","2026-08-20"
"timesae-2601.09776","TimeSAE: Causal Sparse Decoding for Faithful Explanations of Black-Box Time Series Models","2026","ICML 2026","https://arxiv.org/abs/2601.09776","learn causal sparse explanations for black-box time-series models","feature interventions/ablations","sparse features","time-series outputs","evaluates distribution shifts","causal faithfulness and robustness checks","https://oublalkhalid.github.io/TimeSAE/","SAE explanation baseline","does not establish TARCA causal abstraction with independent horizon/lag and joint location truth","2026-08-20"
"chronos-sae-2603.10071","Dissecting Chronos: Sparse Autoencoders Reveal Causal Feature Hierarchies in Time Series Foundation Models","2026","arXiv / ICLR 2026 Workshop poster","https://arxiv.org/abs/2603.10071","identify and ablate causal sparse features in Chronos","feature ablation","SAE features/layers","forecasting","not sequential-regime zero-refit abstraction","causal ablation hierarchy","","foundation-model mechanistic baseline","blocks first forecasting-mechanistic-analysis claim but lacks TARCA high-level SCM alignment","2026-08-20"
"ts-cbm-2410.06070","Enforcing Interpretability in Time Series Transformers: A Concept Bottleneck Framework","2024","arXiv v2 (2025)","https://arxiv.org/abs/2410.06070","forecast through predefined interpretable concepts","concept bottleneck and activation patching","concept layer","forecasting","not primary focus","bottleneck restricts information","","concept baseline","does not test causal-abstraction location truth or unseen-regime zero-refit","2026-08-20"
"forecastcf-2310.08137","ForecastCF: Counterfactual Explanations for Time Series Forecasting","2023","ICDM 2023","https://arxiv.org/abs/2310.08137","produce input counterfactual explanations for forecasters","input counterfactual perturbation","input time points/features","forecasting","not primary focus","plausibility/actionability constraints","","counterfactual explanation baseline","input explanations are distinct from internal causal abstraction and mechanistic localization","2026-08-20"
"foil-2406.09130","Time-Series Forecasting for Out-of-Distribution Generalization Using Invariant Learning","2024","ICML 2024","https://arxiv.org/abs/2406.09130","model-agnostic invariant learning for OOD forecasting with inferred environments","training reweighting/invariance","input environments","forecasting","OOD generalization","not an intervention-injection protocol","https://github.com/AdityaLab/FOIL","OOD forecasting baseline","changes forecasting training; not zero-refit mechanistic abstraction on a frozen predictor","2026-08-20"
"cogs-aaai-2026","COGS: A Causal Representation Learning Framework for Out-of-Distribution Generalization in Time Series","2026","AAAI 2026 official repository","https://github.com/simon-sxx/COGS","causal representation learning for OOD time series","representation learning","latent representations","forecasting/time series","OOD generalization","not an internal intervention protocol","https://github.com/simon-sxx/COGS","OOD causal-representation baseline","learns predictive representations rather than testing frozen-forecaster causal abstraction","2026-08-20"
"pyvene-2403.07809","pyvene: A Library for Understanding and Improving PyTorch Models via Interventions","2024","arXiv / official library","https://arxiv.org/abs/2403.07809","provide reusable internal interventions for PyTorch models","configurable activation interventions","arbitrary PyTorch module locations","general model outputs","tooling only","supports constrained intervention definitions","https://github.com/stanfordnlp/pyvene","future internal-intervention adapter","engineering tool not a TARCA scientific contribution","2026-08-20"
